2025-04-22 21:46:43,915 INFO    MainThread:9968 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-22 21:46:43,916 INFO    MainThread:9968 [wandb_setup.py:_flush():67] Configure stats pid to 9968
2025-04-22 21:46:43,916 INFO    MainThread:9968 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Shreeyut\.config\wandb\settings
2025-04-22 21:46:43,916 INFO    MainThread:9968 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Shreeyut\deep-learning-lab\UNET-SWIN\SwinUNET_Flash_Attention\wandb\settings
2025-04-22 21:46:43,916 INFO    MainThread:9968 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-22 21:46:43,916 INFO    MainThread:9968 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\Shreeyut\deep-learning-lab\UNET-SWIN\SwinUNET_Flash_Attention\wandb\run-20250422_214643-3sff2t9j\logs\debug.log
2025-04-22 21:46:43,917 INFO    MainThread:9968 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\Shreeyut\deep-learning-lab\UNET-SWIN\SwinUNET_Flash_Attention\wandb\run-20250422_214643-3sff2t9j\logs\debug-internal.log
2025-04-22 21:46:43,917 INFO    MainThread:9968 [wandb_init.py:init():761] calling init triggers
2025-04-22 21:46:43,917 INFO    MainThread:9968 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0002, 'architecture': 'swin_unet', 'dataset': 'basic', 'epochs': 10, '_wandb': {}}
2025-04-22 21:46:43,917 INFO    MainThread:9968 [wandb_init.py:init():784] starting backend
2025-04-22 21:46:43,917 INFO    MainThread:9968 [wandb_init.py:init():788] sending inform_init request
2025-04-22 21:46:43,969 INFO    MainThread:9968 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-22 21:46:43,969 INFO    MainThread:9968 [wandb_init.py:init():798] backend started and connected
2025-04-22 21:46:43,970 INFO    MainThread:9968 [wandb_init.py:init():891] updated telemetry
2025-04-22 21:46:44,010 INFO    MainThread:9968 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-22 21:46:49,303 INFO    MainThread:9968 [wandb_init.py:init():990] starting run threads in backend
2025-04-22 21:46:49,481 INFO    MainThread:9968 [wandb_run.py:_console_start():2375] atexit reg
2025-04-22 21:46:49,482 INFO    MainThread:9968 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-22 21:46:49,482 INFO    MainThread:9968 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-22 21:46:49,482 INFO    MainThread:9968 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-22 21:46:49,485 INFO    MainThread:9968 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-22 21:46:50,798 INFO    MainThread:9968 [wandb_watch.py:_watch():71] Watching
2025-04-22 21:46:52,609 INFO    MainThread:9968 [wandb_run.py:_finish():2112] finishing run me230003071-iit-indore/SwinUNET/3sff2t9j
2025-04-22 21:46:52,609 INFO    MainThread:9968 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-04-22 21:46:52,609 INFO    MainThread:9968 [wandb_run.py:_restore():2322] restore
2025-04-22 21:46:52,609 INFO    MainThread:9968 [wandb_run.py:_restore():2328] restore done
2025-04-22 21:46:54,530 INFO    MainThread:9968 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-04-22 21:46:54,531 INFO    MainThread:9968 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-04-22 21:46:54,531 INFO    MainThread:9968 [wandb_run.py:_footer_sync_info():3917] logging synced files
